                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2516,                    inf,                 1.3653,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0763,                 0.0003,                 0.0003
                      0,                0.43599,                 411.47,                0.27666,                      0,                      0,                      0,                      0,                0.29861,                 591.85,                0.19722,                 0.0763,                 0.0003,                 0.0003
                      0,                 0.8371,                 1202.1,                0.48772,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0921,                 0.0001,                 0.0001
                      0,                 0.8371,                 1202.1,                0.48772,                      0,                      0,                      0,                      0,                0.80565,                    426,                0.50139,                 0.0921,                 0.0001,                 0.0001
                      1,                 1.2633,                 1259.2,                  0.565,                      0,                      0,                      0,                      0,                 0.6671,                   1593,                0.38548,               0.083198,             0.00019848,             0.00019848
                      2,                 1.2788,                 70.895,                0.65616,                      0,                      0,                      0,                      0,                0.51051,                 1.7302,                0.33804,               0.074282,              0.0002821,              0.0002821
                      3,                      0,                 7.4588,                      0,                      0,                      0,                      0,                      0,                0.55466,                  51.21,                0.38243,               0.065351,             0.00035088,             0.00035088
                      4,                 1.2514,                  4.467,                0.74684,                      0,                      0,                      0,                      0,                0.59818,                 1052.9,                0.38079,               0.056405,              0.0004048,              0.0004048
                      5,                0.60113,                 2.0302,                0.34912,                      0,                      0,                      0,                      0,                0.56898,                 1.1398,                0.38962,               0.047444,             0.00044388,             0.00044388
                      6,                0.68952,                 1.6007,                0.47289,                      0,                      0,                      0,                      0,                0.49957,                 1277.7,                0.30029,               0.038468,              0.0004681,              0.0004681
                      7,                0.68871,                 1.2849,                0.47412,                0.03226,                    0.5,                0.25573,                0.12786,                0.44331,                 1.4154,                0.32405,               0.029477,             0.00047747,             0.00047747
                      8,                0.80153,                 1.5991,                0.52816,                0.03226,                    0.5,                0.25573,                0.12786,                0.66119,                   1.53,                0.36753,               0.020472,               0.000472,               0.000472
                      9,                0.96567,                 1.8425,                0.61608,                0.03226,                    0.5,                0.25573,                0.12786,                0.51781,                 1.6945,                0.39562,               0.011452,             0.00045168,             0.00045168
                     10,                0.89714,                 1.8482,                0.57879,                0.03226,                    0.5,                0.25573,                0.12786,                0.76015,                 1.6796,                 0.4268,              0.0024165,              0.0004165,              0.0004165
                     11,                0.32138,                0.94238,                0.26276,                0.03226,                    0.5,                0.25573,                0.12786,                0.52307,                 1.6928,                0.40237,              0.0003425,              0.0003425,              0.0003425
                     12,                0.29046,                0.95104,                0.22034,                0.03226,                    0.5,                0.25573,                0.12786,                0.76991,                 1.6746,                0.42142,              0.0003425,              0.0003425,              0.0003425
                     13,                0.68795,                 1.8599,                0.43903,                0.03226,                    0.5,                0.25573,                0.12786,                0.68333,                 1.6145,                0.40297,                0.00026,                0.00026,                0.00026
                     14,                0.93395,                  1.586,                0.55607,                0.03226,                    0.5,                0.25573,                0.12786,                0.50507,                 1.5341,                0.33376,              0.0001775,              0.0001775,              0.0001775
                      0,                 0.8371,                 1202.1,                0.48772,                      0,                      0,                      0,                      0,                0.80565,                    426,                0.50139,                 0.0921,                 0.0001,                 0.0001
