                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2516,                    inf,                 1.3653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0763,                 0.0003,                 0.0003
                      1,                0.51921,                    inf,                 0.3325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.051582,             0.00058218,             0.00058218
                      2,                0.57206,                    inf,                0.33199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.026833,             0.00083343,             0.00083343
                      3,                0.58333,                    inf,                  0.342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020537,              0.0010537,              0.0010537
                      4,                 1.1161,                    inf,                0.65703,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010025,              0.0010025,              0.0010025
                      5,                 1.9387,                    inf,                 1.1718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010025,              0.0010025,              0.0010025
                      6,                0.29375,                    inf,                0.16842,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094062,             0.00094062,             0.00094062
                      7,                0.83132,                    inf,                0.49942,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087875,             0.00087875,             0.00087875
                      8,                0.87477,                    inf,                0.50896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081688,             0.00081688,             0.00081688
                      9,                0.85917,                    inf,                0.50354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000755,               0.000755,               0.000755
                     10,                0.50933,                    inf,                0.33261,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069313,             0.00069313,             0.00069313
                     11,                0.58343,                    inf,                0.33241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063125,             0.00063125,             0.00063125
                     12,                 0.5769,                    inf,                0.33788,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056938,             0.00056938,             0.00056938
                     13,                0.52927,                    inf,                0.33126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005075,              0.0005075,              0.0005075
                     14,                0.52498,                    inf,                0.33334,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044563,             0.00044563,             0.00044563
                     15,                0.57024,                    inf,                0.33227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038375,             0.00038375,             0.00038375
                     16,                0.53103,                    inf,                0.33389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032188,             0.00032188,             0.00032188
                     17,                0.56461,                    inf,                0.33205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00026,                0.00026,                0.00026
                     18,                0.53825,                    inf,                0.33449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019813,             0.00019813,             0.00019813
                     19,                0.53128,                    inf,                0.33243,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,             0.00013625,             0.00013625,             0.00013625
