epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8092,2.49552,5.1933,1.68511,0,0,0,0,0,0,0,0.067377,0.000163934,0.000163934
2,55.0569,2.34939,3.08396,1.57947,0,0,0,0,0,0,0,0.034194,0.000314236,0.000314236
3,78.3708,2.25593,2.6992,1.52117,0,0,0,0,0,0,0,0.000994486,0.000448038,0.000448038
4,101.583,2.21617,2.39807,1.50415,0,0,0,0,0,0,0,0.00042575,0.00042575,0.00042575
5,124.632,2.15114,2.26971,1.4816,0,0,0,0,0,0,0,0.000401,0.000401,0.000401
6,147.791,2.05324,2.01355,1.40321,0,0,0,0,0,0,0,0.00037625,0.00037625,0.00037625
7,170.895,2.01059,1.88115,1.41213,0,0,0,0,0,0,0,0.0003515,0.0003515,0.0003515
8,194.034,1.97569,1.86974,1.39101,0,0,0,0,0,0,0,0.00032675,0.00032675,0.00032675
9,217.257,1.95006,1.73001,1.35162,0,0,0,0,0,0,0,0.000302,0.000302,0.000302
10,240.301,1.90735,1.63775,1.34376,0,0,0,0,0,0,0,0.00027725,0.00027725,0.00027725
11,265.056,1.92807,1.59229,1.37476,0,0,0,0,0,0,0,0.0002525,0.0002525,0.0002525
12,288.217,1.91902,1.50492,1.37324,0,0,0,0,0,0,0,0.00022775,0.00022775,0.00022775
13,311.201,1.86473,1.43511,1.35345,0,0,0,0,0,0,0,0.000203,0.000203,0.000203
14,334.145,1.81073,1.32047,1.32073,0,0,0,0,0,0,0,0.00017825,0.00017825,0.00017825
15,357.729,1.79464,1.31096,1.30998,0,0,0,0,0,0,0,0.0001535,0.0001535,0.0001535
16,381.102,1.75771,1.21251,1.27564,0,0,0,0,0,0,0,0.00012875,0.00012875,0.00012875
17,404.054,1.71472,1.16139,1.25426,0,0,0,0,0,0,0,0.000104,0.000104,0.000104
18,427.017,1.66227,1.13173,1.22317,0,0,0,0,0,0,0,7.925e-05,7.925e-05,7.925e-05
19,450.019,1.63587,1.1277,1.22547,0,0,0,0,0,0,0,5.45e-05,5.45e-05,5.45e-05
20,477.523,1.61235,1.06727,1.20574,0.47343,0.38248,0.39339,0.20071,2.39419,2.42021,1.45484,2.975e-05,2.975e-05,2.975e-05
